id	Date	sex	status	avail	hold	dam	sire	origin	birth	death	arrivedate	arrivetime	departdate	departtime	room	cage	cond	weight	wdate	wtime	tbdate	medical	purchasedby	v_status
cj1609	2008-12-07	m	alive	u		cj0950	cj1157	cen	2008-12-07						a163a	0005	gmf	0.2070	2009-06-12	1970-01-01 09:00:00				
cj1608	2008-12-07	f	d-othr	u		cj0950	cj1157	cen	2008-12-07	2008-12-10					a140	0014	gmf	0.0200						
r08062	2008-11-30	m	alive	ab		r00057	r03015	cen	2008-11-30						ab119	0013	gm	1.4600	2009-07-07	1970-01-01 09:30:00	2009-07-07			SPF
r08061	2008-11-29	m	alive	ab		r03078	rh2143	cen	2008-11-29						ab142	0011	gm	1.3600	2009-07-14	1970-01-01 10:25:00	2009-07-14			SPF
r08060	2008-11-27	f	alive	ab		r01100	r02072	cen	2008-11-27						ab119	0017	gm	1.3400	2009-07-07	1970-01-01 09:30:00	2009-07-07			SPF
cj1606	2008-11-20	f	alive	u		cj1234	cj1263	cen	2008-11-20						a142	0001	gmf	0.2640	2009-06-12	1970-01-01 09:00:00				
cj1605	2008-11-20	f	d-othr	u		cj1234	cj1263	cen	2008-11-20	2008-11-23					a142	0001	gmf							
r08059	2008-11-18	f	alive	ab		rh1983	r92064	cen	2008-11-18						ab108	0044	gm	1.8000	2009-07-27	1970-01-01 09:00:00	2009-07-27			
r08058	2008-11-13	m	alive	ab		r01070	r95046	cen	2008-11-13						ab108	0033	gm	1.8300	2009-07-27	1970-01-01 09:00:00	2009-07-27			SPF
r08057	2008-11-11	m	alive	ab		r01047	r96018	cen	2008-11-11						ab142	0009	gm	1.5900	2009-07-14	1970-01-01 10:25:00	2009-07-14			SPF
r08056	2008-11-06	m	alive	ab		r95004		cen	2008-11-06						ab118	0033	gm	2.1500	2009-07-02	1970-01-01 09:05:00	2009-07-02			SPF
cj1603	2008-11-06	m	alive	u		cj0984	cj1115	cen	2008-11-06						a161a	pen1	gmf	0.2590	2009-06-24	1970-01-01 09:00:00	2009-05-27			
cj1602	2008-11-06	f	d-othr	u		cj0984	cj1115	cen	2008-11-06	2008-11-09					a161a	pen1	gmf							
cj1604	2008-11-06	m	alive	u		cj0984	cj1115	cen	2008-11-06						a161a	pen1	gmf	0.2500	2009-06-24	1970-01-01 09:00:00	2009-05-27			
cj1600	2008-11-03	f	alive	u		cj1252	cj1333	cen	2008-11-03						ab190	pen1	gmf	0.2680	2009-06-24	1970-01-01 09:00:00	2009-05-27			
cj1601	2008-11-03	f	alive	u		cj1252	cj1333	cen	2008-11-03						ab190	pen1	gmf	0.3200	2009-06-24	1970-01-01 09:00:00	2009-05-27			
cj1599	2008-11-03	m	alive	u		cj1252	cj1333	cen	2008-11-03						ab190	pen1	gmf	0.2910	2009-06-24	1970-01-01 09:00:00	2009-05-27			
